row_type,time_ms,session_time_ms,time_s,raw_depth_mm,depth_mm,peak_depth_mm,lean_mm,rate_cpm,compression_started,compression_completed,motion_state,hp_x,hp_y,hp_s,force_N,motor_on
DATA,53911,90,0.09,4.0,3.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,54002,181,0.181,3.0,3.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,54092,271,0.271,1.0,2.5,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,54184,363,0.363,4.0,2.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,54275,454,0.454,4.0,3.1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,54365,544,0.544,3.0,3.1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,54456,635,0.635,3.0,3.1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,54547,726,0.726,2.0,2.8,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0
DATA,54638,817,0.817,3.0,2.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,54728,907,0.907,3.0,2.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,54818,997,0.997,3.0,2.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,54909,1088,1.088,4.0,3.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,55001,1180,1.18,6.0,3.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,55092,1271,1.271,1.0,3.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,55182,1361,1.361,4.0,3.4,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,55273,1452,1.452,7.0,4.3,0.0,0.0,0.0,0,0,0,31.2,0.5,29.8,0.1,0
DATA,55363,1542,1.542,24.0,9.2,0.0,0.1,0.0,1,0,1,29.3,1.5,87.7,1.3,0
