row_type,time_ms,session_time_ms,time_s,raw_depth_mm,depth_mm,peak_depth_mm,lean_mm,rate_cpm,compression_started,compression_completed,motion_state,hp_x,hp_y,hp_s,force_N,motor_on
DATA,15866,90,0.09,1.0,0.8,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.0,0
DATA,15958,182,0.182,1.0,0.8,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0
DATA,16049,273,0.273,1.0,0.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0
DATA,16140,364,0.364,1.0,0.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0
DATA,16230,454,0.454,2.0,1.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.0,0
DATA,16320,544,0.544,4.0,1.9,0.0,0.0,0.0,0,0,0,25.8,13.0,23.9,-0.1,0
DATA,16411,635,0.635,24.0,7.4,0.0,0.0,0.0,1,0,1,25.9,12.8,83.9,-0.3,0
DATA,16502,726,0.726,57.0,19.8,0.0,0.0,0.0,0,0,1,26.0,12.5,61.9,0.3,0
DATA,16593,817,0.817,63.5,30.7,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.2,0
DATA,16684,908,0.908,19.0,27.8,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,-0.1,0
DATA,16778,1002,1.002,0.0,20.8,63.5,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,1
DATA,16865,1089,1.089,12.0,18.6,63.5,0.0,0.0,0,0,2,26.5,11.4,58.9,-0.3,1
DATA,16956,1180,1.18,49.0,26.2,63.5,18.6,0.0,1,0,1,26.4,11.6,73.9,-0.3,1
DATA,17047,1271,1.271,63.5,35.5,63.5,18.6,0.0,0,0,1,26.3,11.8,15.9,-0.0,0
DATA,17138,1362,1.362,33.0,34.9,63.5,18.6,0.0,0,0,1,0.0,0.0,0.0,-0.2,0
DATA,17231,1455,1.455,9.0,28.4,63.5,18.6,132.2,0,1,2,0.0,0.0,0.0,-0.1,1
