row_type,time_ms,session_time_ms,time_s,raw_depth_mm,depth_mm,peak_depth_mm,lean_mm,rate_cpm,compression_started,compression_completed,motion_state,hp_x,hp_y,hp_s,force_N,motor_on
DATA,16653,91,0.091,1.0,0.3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0
DATA,16743,181,0.181,0.0,0.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0
DATA,16835,273,0.273,0.0,0.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.3,0
DATA,16925,363,0.363,0.0,0.1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.7,0
DATA,17015,453,0.453,1.0,0.3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.7,0
DATA,17107,545,0.545,0.0,0.3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.6,0
DATA,17198,636,0.636,0.0,0.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.6,0
DATA,17288,726,0.726,2.0,0.6,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.7,0
DATA,17379,817,0.817,0.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.7,0
DATA,17470,908,0.908,2.0,0.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.8,0
DATA,17561,999,0.999,1.0,0.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.8,0
DATA,17651,1089,1.089,8.0,2.7,0.0,0.0,0.0,0,0,0,31.2,0.5,5.9,3.2,0
DATA,17742,1180,1.18,17.0,6.3,0.0,0.0,0.0,0,0,0,25.1,0.6,26.9,4.8,0
DATA,17832,1270,1.27,33.0,12.9,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,5.2,0
DATA,17924,1362,1.362,29.0,17.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,3.9,0
DATA,18015,1453,1.453,7.0,14.5,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,2.2,0
DATA,18107,1545,1.545,0.0,10.8,33.0,0.0,0.0,0,1,2,0.0,0.0,0.0,1.5,0
DATA,18196,1634,1.634,10.0,10.6,33.0,0.0,0.0,0,0,2,4.6,-2.9,39.9,2.3,0
DATA,18287,1725,1.725,34.0,16.5,33.0,0.0,0.0,0,0,2,4.4,-2.4,19.9,3.7,0
DATA,18377,1815,1.815,39.0,22.1,33.0,10.6,0.0,1,0,1,0.0,0.0,0.0,3.4,0
DATA,18468,1906,1.906,19.0,21.3,33.0,10.6,0.0,0,0,1,0.0,0.0,0.0,1.4,0
DATA,18562,2000,2.0,1.0,16.2,39.0,10.6,131.9,0,1,2,0.0,0.0,0.0,0.4,0
DATA,18651,2089,2.089,13.0,15.4,39.0,10.6,131.9,0,0,2,9.3,7.6,22.9,0.5,0
DATA,18741,2179,2.179,36.0,20.6,39.0,10.6,131.9,0,0,2,0.8,10.4,9.9,1.9,0
DATA,18832,2270,2.27,46.0,26.9,39.0,15.4,131.9,1,0,1,0.0,0.0,0.0,1.7,0
DATA,18922,2360,2.36,13.0,23.4,39.0,15.4,131.9,0,0,1,0.0,0.0,0.0,0.1,0
DATA,19015,2453,2.453,0.0,17.6,46.0,15.4,132.5,0,1,2,0.0,0.0,0.0,0.1,0
DATA,19103,2541,2.541,1.0,13.4,46.0,15.4,132.5,0,0,2,-24.7,18.6,10.9,-0.1,0
DATA,19194,2632,2.632,28.0,17.1,46.0,15.4,132.5,0,0,2,-18.8,16.7,18.9,1.7,0
DATA,19286,2724,2.724,45.0,24.1,46.0,13.4,132.5,1,0,1,0.0,0.0,0.0,2.6,0
DATA,19377,2815,2.815,26.0,24.5,46.0,13.4,132.5,0,0,1,0.0,0.0,0.0,-0.0,0
DATA,19470,2908,2.908,0.0,18.4,45.0,13.4,131.9,0,1,2,0.0,0.0,0.0,-0.2,0
DATA,19558,2996,2.996,3.0,14.6,45.0,13.4,131.9,0,0,2,-24.7,18.6,9.9,-0.4,0
DATA,19649,3087,3.087,24.0,16.9,45.0,13.4,131.9,0,0,2,-17.7,16.4,21.9,1.3,0
DATA,19739,3177,3.177,47.0,24.4,45.0,14.6,131.9,1,0,1,-19.5,16.9,5.9,3.1,0
DATA,19830,3268,3.268,29.0,25.6,45.0,14.6,131.9,0,0,1,0.0,0.0,0.0,0.2,0
DATA,19923,3361,3.361,2.0,19.7,47.0,14.6,132.2,0,1,2,0.0,0.0,0.0,-0.3,0
DATA,20012,3450,3.45,0.0,14.8,47.0,14.6,132.2,0,0,2,-24.7,18.6,7.9,-0.4,0
DATA,20103,3541,3.541,17.0,15.3,47.0,14.6,132.2,0,0,2,-17.7,16.4,19.9,0.9,0
DATA,20194,3632,3.632,47.0,23.2,47.0,14.8,132.2,1,0,1,-19.5,16.9,7.9,2.5,0
