row_type,time_ms,session_time_ms,time_s,raw_depth_mm,depth_mm,peak_depth_mm,lean_mm,rate_cpm,compression_started,compression_completed,motion_state,hp_x,hp_y,hp_s,force_N,motor_on
DATA,18135,92,0.092,0.0,0.3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.0,0
DATA,18225,182,0.182,0.0,0.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.0,0
DATA,18316,273,0.273,0.0,0.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,18407,364,0.364,0.0,0.1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0
DATA,18497,454,0.454,3.0,0.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.1,0
DATA,18588,545,0.545,2.0,1.1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.0,0
DATA,18678,635,0.635,3.0,1.6,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.1,0
DATA,18768,725,0.725,6.0,2.7,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.2,0
DATA,18860,817,0.817,18.0,6.5,0.0,0.0,0.0,0,0,0,24.2,16.7,26.5,-0.5,0
DATA,18951,908,0.908,42.0,15.4,0.0,0.0,0.0,1,0,1,24.5,15.9,57.5,-0.3,0
DATA,19042,999,0.999,63.0,27.3,0.0,0.0,0.0,0,0,1,23.9,17.4,7.0,-0.0,0
DATA,19132,1089,1.089,33.0,28.7,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,-0.3,0
DATA,19225,1182,1.182,2.0,22.0,63.0,0.0,0.0,0,1,2,0.0,0.0,0.0,-0.2,1
DATA,19314,1271,1.271,5.0,17.8,63.0,0.0,0.0,0,0,2,21.9,21.9,24.0,-0.4,1
DATA,19403,1360,1.36,31.0,21.1,63.0,0.0,0.0,0,0,2,22.4,20.7,84.5,-0.7,1
DATA,19494,1451,1.451,63.5,31.7,63.0,17.8,0.0,1,0,1,22.7,20.1,41.5,-0.5,0
DATA,19586,1543,1.543,54.0,37.3,63.0,17.8,0.0,0,0,1,0.0,0.0,0.0,-0.5,0
DATA,19679,1636,1.636,17.0,32.2,63.5,17.8,132.2,0,1,2,0.0,0.0,0.0,-0.1,1
DATA,19767,1724,1.724,4.0,25.2,63.5,17.8,132.2,0,0,2,21.9,21.9,12.0,-0.2,1
DATA,19857,1814,1.814,22.0,24.4,63.5,17.8,132.2,0,0,2,22.4,20.6,61.5,-0.5,1
DATA,19948,1905,1.905,55.0,32.0,63.5,24.4,132.2,1,0,1,22.8,19.8,50.5,-0.7,0
DATA,20038,1995,1.995,60.0,39.0,63.5,24.4,132.2,0,0,1,0.0,0.0,0.0,-0.6,0
DATA,20129,2086,2.086,29.0,36.5,63.5,24.4,132.2,0,0,1,0.0,0.0,0.0,-0.3,0
DATA,20224,2181,2.181,0.0,27.4,60.0,24.4,110.3,0,1,2,21.9,21.9,19.0,-0.0,1
DATA,20312,2269,2.269,26.0,27.0,60.0,24.4,110.3,0,0,2,22.4,20.8,89.5,-0.5,1
DATA,20402,2359,2.359,61.0,35.5,60.0,27.0,110.3,1,0,1,22.6,20.3,36.5,-0.5,1
DATA,20493,2450,2.45,55.0,40.4,60.0,27.0,110.3,0,0,1,0.0,0.0,0.0,-0.4,0
DATA,20586,2543,2.543,11.0,33.0,61.0,27.0,165.3,0,1,2,0.0,0.0,0.0,0.0,0
DATA,20674,2631,2.631,3.0,25.5,61.0,27.0,165.3,0,0,2,21.9,21.9,27.0,-0.1,0
DATA,20765,2722,2.722,36.0,28.2,61.0,27.0,165.3,0,0,2,22.3,21.0,83.5,-0.5,0
DATA,20855,2812,2.812,63.5,37.0,61.0,25.5,165.3,1,0,1,22.2,21.2,30.0,-0.6,0
DATA,20946,2903,2.903,49.0,40.0,61.0,25.5,165.3,0,0,1,0.0,0.0,0.0,-0.5,0
DATA,21039,2996,2.996,12.0,33.0,63.5,25.5,132.2,0,1,2,0.0,0.0,0.0,0.1,0
DATA,21128,3085,3.085,4.0,25.7,63.5,25.5,132.2,0,0,2,21.9,21.9,20.0,0.0,0
DATA,21218,3175,3.175,29.0,26.6,63.5,25.5,132.2,0,0,2,22.4,20.8,66.5,-0.6,0
DATA,21309,3266,3.266,60.0,34.9,63.5,25.7,132.2,1,0,1,22.6,20.3,38.5,-0.8,0
DATA,21399,3356,3.356,57.0,40.4,63.5,25.7,132.2,0,0,1,0.0,0.0,0.0,-0.7,0
DATA,21492,3449,3.449,19.0,35.1,60.0,25.7,132.7,0,1,2,0.0,0.0,0.0,-0.2,0
DATA,21581,3538,3.538,3.0,27.1,60.0,25.7,132.7,0,0,2,21.9,21.9,14.0,-0.0,0
DATA,21671,3628,3.628,21.0,25.5,60.0,25.7,132.7,0,0,2,22.3,21.0,59.5,-0.4,0
DATA,21762,3719,3.719,58.0,33.7,60.0,25.5,132.7,1,0,1,22.6,20.3,52.5,-0.7,0
DATA,21853,3810,3.81,63.5,41.1,60.0,25.5,132.7,0,0,1,22.4,20.7,6.0,-0.7,0
DATA,21944,3901,3.901,24.0,36.8,60.0,25.5,132.7,0,0,1,0.0,0.0,0.0,-0.2,0
DATA,22036,3993,3.993,0.0,27.6,63.5,25.5,110.1,0,1,2,0.0,0.0,0.0,0.1,0
DATA,22125,4082,4.082,11.0,23.5,63.5,25.5,110.1,0,0,2,23.3,18.6,54.5,-0.3,0
DATA,22215,4172,4.172,54.0,31.1,63.5,23.5,110.1,1,0,1,23.3,18.6,68.5,-0.7,0
