compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,1543,1.543,33.0,0.0,0.0,0.0,0.0,0.0,1.5
2,1998,1.998,39.0,10.6,131.9,0.0,0.0,0.0,0.4
3,2451,2.451,46.0,15.4,132.5,0.0,0.0,0.0,0.1
4,2906,2.906,45.0,13.4,131.9,0.0,0.0,0.0,-0.2
5,3359,3.359,47.0,14.6,132.2,0.0,0.0,0.0,-0.3
6,3813,3.813,47.0,14.8,132.5,0.0,0.0,0.0,-0.3
7,4358,4.358,52.0,16.5,109.9,-24.7,18.6,9.9,-0.1
8,4721,4.721,62.0,18.1,165.7,0.0,0.0,0.0,-0.1
9,5266,5.266,53.0,19.4,110.1,-24.7,18.6,5.9,-0.1
10,5720,5.72,46.0,19.1,132.2,0.0,0.0,0.0,-0.2
11,6173,6.173,54.0,16.6,132.2,0.0,0.0,0.0,-0.4
12,6719,6.719,47.0,15.8,110.1,0.0,0.0,0.0,-0.5
13,7174,7.174,51.0,17.5,131.9,0.0,0.0,0.0,-0.4
14,7718,7.718,52.0,19.7,110.3,0.0,0.0,0.0,-0.3
15,8172,8.172,51.0,19.4,132.2,0.0,0.0,0.0,-0.3
16,8717,8.717,55.0,17.8,110.1,-24.7,18.6,6.9,-0.3
17,9171,9.171,49.0,19.1,132.2,0.0,0.0,0.0,-0.3
18,9625,9.625,49.0,17.7,132.2,0.0,0.0,0.0,-0.4
19,10170,10.17,36.0,17.7,110.1,0.0,0.0,0.0,-0.4
20,10624,10.624,56.0,14.0,132.2,0.0,0.0,0.0,-0.3
21,11168,11.168,53.0,13.0,110.1,0.0,0.0,0.0,-0.2
22,11712,11.712,52.0,13.9,110.3,0.0,0.0,0.0,-0.3
23,12167,12.167,50.0,15.2,131.9,0.0,0.0,0.0,-0.3
24,12712,12.712,47.0,13.0,110.3,0.0,0.0,0.0,-0.3
25,13256,13.256,49.0,13.3,110.3,0.0,0.0,0.0,-0.3
26,13801,13.801,45.0,13.2,110.1,-24.7,18.6,5.9,-0.3
27,14255,14.255,45.0,13.8,132.2,0.0,0.0,0.0,-0.3
28,14800,14.8,48.0,14.0,110.1,0.0,0.0,0.0,-0.3
29,15253,15.253,54.0,13.4,132.5,0.0,0.0,0.0,-0.3
30,15798,15.798,57.0,17.0,110.1,0.0,0.0,0.0,-0.4
31,16252,16.252,58.0,17.0,132.2,0.0,0.0,0.0,-0.2
32,16706,16.706,58.0,18.2,132.2,0.0,0.0,0.0,-0.3
33,17250,17.25,54.0,16.6,110.3,0.0,0.0,0.0,-0.3
34,17796,17.796,52.0,16.2,109.9,0.0,0.0,0.0,-0.3
35,18340,18.34,47.0,13.3,110.1,0.0,0.0,0.0,-0.3
36,18884,18.884,49.0,13.8,110.3,0.0,0.0,0.0,-0.4
37,19339,19.339,46.0,13.2,132.2,0.0,0.0,0.0,-0.3
38,19883,19.883,46.0,13.2,110.1,0.0,0.0,0.0,-0.3
39,20336,20.336,55.0,12.4,132.5,0.0,0.0,0.0,-0.3
40,20881,20.881,56.0,14.5,110.3,0.0,0.0,0.0,-0.3
41,21427,21.427,58.0,16.9,109.9,-24.7,18.6,5.9,-0.3
42,21879,21.879,58.0,17.1,132.2,0.0,0.0,0.0,-0.2
43,22425,22.425,52.0,17.9,110.3,0.0,0.0,0.0,-0.3
44,22879,22.879,58.0,16.8,132.2,0.0,0.0,0.0,-0.3
45,23424,23.424,48.0,16.9,110.1,0.0,0.0,0.0,-0.2
46,23967,23.967,55.0,16.0,110.3,0.0,0.0,0.0,-0.3
47,24422,24.422,54.0,16.1,132.2,0.0,0.0,0.0,-0.3
48,24967,24.967,55.0,15.6,110.1,0.0,0.0,0.0,-0.3
49,25511,25.511,51.0,16.3,110.1,0.0,0.0,0.0,-0.3
50,25965,25.965,54.0,16.5,132.5,0.0,0.0,0.0,-0.3
51,26510,26.51,60.0,14.8,110.1,0.0,0.0,0.0,-0.2
52,27055,27.055,57.0,17.2,110.1,0.0,0.0,0.0,-0.2
53,27600,27.6,56.0,17.3,110.1,0.0,0.0,0.0,-0.3
54,28053,28.053,60.0,17.7,132.5,0.0,0.0,0.0,-0.3
55,28598,28.598,59.0,17.1,110.1,0.0,0.0,0.0,-0.2
56,29143,29.143,55.0,18.6,110.1,0.0,0.0,0.0,-0.2
57,29596,29.596,57.0,17.5,132.5,0.0,0.0,0.0,-0.2
