compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,1180,1.18,57.0,0.0,0.0,0.0,0.0,0.0,0.2
2,1633,1.633,63.5,18.9,132.2,0.0,0.0,0.0,0.6
3,2087,2.087,61.0,24.2,132.5,0.0,0.0,0.0,0.6
4,2541,2.541,63.5,26.5,132.2,0.0,0.0,0.0,0.6
5,3084,3.084,59.0,26.2,110.3,21.9,21.9,6.3,0.6
6,3538,3.538,63.0,26.2,132.5,0.0,0.0,0.0,0.6
7,3992,3.992,63.0,25.9,132.2,0.0,0.0,0.0,0.6
8,4445,4.445,63.0,27.4,132.5,0.0,0.0,0.0,0.6
9,4899,4.899,63.0,26.8,131.9,0.0,0.0,0.0,0.5
10,5443,5.443,62.0,27.2,110.3,21.9,21.9,10.3,0.5
11,5896,5.896,63.5,28.5,132.5,21.9,21.9,5.3,0.6
12,6351,6.351,63.5,26.0,132.2,21.9,21.9,5.3,0.6
13,6804,6.804,63.5,26.1,132.5,0.0,0.0,0.0,0.6
14,7258,7.258,63.0,25.7,132.2,21.9,21.9,11.3,0.7
15,7711,7.711,63.0,26.2,132.5,0.0,0.0,0.0,0.6
16,8165,8.165,62.0,25.1,131.9,21.9,21.9,7.3,0.5
17,8618,8.618,62.0,27.1,132.7,21.9,21.9,5.3,0.4
18,9072,9.072,63.5,26.4,132.2,21.9,21.9,6.3,0.5
19,9525,9.525,63.5,27.1,131.9,0.0,0.0,0.0,0.5
20,9979,9.979,63.5,27.0,132.7,21.9,21.9,7.3,0.6
21,10433,10.433,62.0,27.9,132.2,21.9,21.9,7.3,0.3
22,10886,10.886,63.0,27.2,132.5,22.5,20.4,10.3,0.3
23,11340,11.34,63.5,29.5,132.2,22.7,20.1,9.3,0.3
24,11794,11.794,60.0,29.2,132.2,22.6,20.3,6.3,0.3
25,12338,12.338,61.0,28.2,110.5,22.7,20.0,52.7,0.3
26,12701,12.701,61.0,30.8,164.8,22.6,20.3,11.3,0.3
27,13153,13.153,61.0,32.0,132.2,22.5,20.5,5.3,0.4
28,13607,13.607,60.0,31.3,132.7,0.0,0.0,0.0,0.5
29,14061,14.061,61.0,28.4,132.2,0.0,0.0,0.0,0.5
30,14515,14.515,60.0,27.0,132.2,0.0,0.0,0.0,0.6
31,15058,15.058,63.0,28.3,110.3,21.9,21.9,15.3,0.5
32,15512,15.512,62.0,29.3,132.2,21.9,21.9,16.3,0.6
33,15965,15.965,60.0,29.8,132.5,21.9,21.9,13.3,0.6
34,16419,16.419,61.0,28.3,132.2,21.9,21.9,13.3,0.6
35,16873,16.873,60.0,28.0,132.2,24.1,16.8,26.7,0.7
36,17326,17.326,63.5,29.0,132.7,21.9,21.9,18.3,0.6
37,17780,17.78,63.5,29.6,132.2,21.9,21.9,17.3,0.6
38,18234,18.234,63.0,29.2,132.2,21.9,21.9,12.3,0.5
39,18687,18.687,62.0,29.9,132.5,21.9,21.9,15.3,0.5
40,19142,19.142,63.0,29.8,131.9,22.2,21.2,18.3,0.6
41,19594,19.594,63.0,30.5,132.2,23.7,17.7,27.7,0.5
42,19957,19.957,60.0,32.2,165.7,23.0,19.4,6.3,0.4
43,20411,20.411,53.0,31.8,132.2,0.0,0.0,0.0,0.3
44,20864,20.864,63.5,30.2,132.5,22.2,20.4,8.3,0.5
45,21318,21.318,63.5,29.7,132.2,22.3,20.7,13.3,0.4
46,21772,21.772,63.5,30.1,132.5,21.9,21.9,11.3,0.5
47,22226,22.226,63.5,28.4,132.2,21.9,21.9,13.3,0.6
48,22680,22.68,61.0,29.5,132.5,21.9,21.9,16.3,0.6
49,23132,23.132,60.0,29.7,132.5,21.9,21.9,17.3,0.7
50,23496,23.496,61.0,30.3,164.8,22.6,20.3,5.3,0.5
51,23950,23.95,63.5,30.5,132.5,21.9,21.9,7.3,0.5
52,24403,24.403,63.5,29.4,132.5,21.9,21.9,6.3,0.5
53,24857,24.857,63.5,28.4,132.2,21.9,21.9,7.3,0.6
54,25310,25.31,63.5,27.9,132.2,21.9,21.9,10.3,0.6
55,25764,25.764,63.5,27.3,132.2,21.9,21.9,12.3,0.6
56,26218,26.218,63.0,29.3,132.2,23.9,17.2,24.7,0.5
57,26670,26.67,56.0,30.1,132.7,24.7,15.6,31.7,0.5
58,27034,27.034,63.0,28.9,164.8,21.9,21.9,7.3,0.5
59,27487,27.487,63.5,28.2,132.2,21.9,21.9,8.3,0.7
60,27941,27.941,62.0,28.7,132.5,21.9,21.9,10.3,0.5
61,28394,28.394,60.0,28.1,132.2,21.9,21.9,10.3,0.6
62,28848,28.848,63.0,28.2,132.5,10.9,21.1,24.0,0.7
63,29211,29.211,63.5,29.7,165.3,18.8,20.0,6.3,0.6
64,29664,29.664,63.5,30.2,132.2,21.9,21.9,7.3,0.7
