compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,907,0.907,63.5,0.0,0.0,0.0,0.0,0.0,0.4
2,1452,1.452,56.0,17.4,110.1,0.0,0.0,0.0,0.2
3,1906,1.906,63.5,18.7,132.2,0.0,0.0,0.0,0.4
4,2360,2.36,60.0,21.6,131.9,0.0,0.0,0.0,0.2
5,2815,2.815,63.5,20.3,132.2,0.0,0.0,0.0,0.3
6,3268,3.268,62.0,21.1,132.2,0.0,0.0,0.0,0.3
7,3813,3.813,62.0,20.0,110.3,0.0,0.0,0.0,0.3
8,4357,4.357,60.0,17.4,110.3,0.0,0.0,0.0,0.3
9,4903,4.903,63.5,15.1,109.9,0.0,0.0,0.0,0.3
10,5447,5.447,57.0,15.9,110.1,0.0,0.0,0.0,0.2
11,5992,5.992,56.0,13.4,110.3,0.0,0.0,0.0,0.1
12,6537,6.537,49.0,14.2,110.1,0.0,0.0,0.0,0.1
13,7082,7.082,55.0,13.8,110.1,0.0,0.0,0.0,0.2
14,7627,7.627,51.0,14.7,110.1,0.0,0.0,0.0,0.2
15,8170,8.17,50.0,14.4,110.3,0.0,0.0,0.0,0.1
16,8716,8.716,49.0,14.7,110.1,0.0,0.0,0.0,0.2
17,9170,9.17,56.0,14.5,132.2,0.0,0.0,0.0,0.2
18,9715,9.715,52.0,15.8,109.9,0.0,0.0,0.0,0.2
19,10260,10.26,50.0,17.1,110.3,0.0,0.0,0.0,0.2
20,10714,10.714,52.0,15.8,132.2,0.0,0.0,0.0,0.1
21,11258,11.258,52.0,15.3,110.1,0.0,0.0,0.0,0.1
22,11803,11.803,45.0,16.7,110.3,0.0,0.0,0.0,0.1
23,12256,12.256,47.0,14.3,132.2,0.0,0.0,0.0,0.2
24,12802,12.802,52.0,14.4,110.1,0.0,0.0,0.0,0.2
25,13256,13.256,55.0,16.8,132.2,0.0,0.0,0.0,0.3
26,13800,13.8,56.0,18.9,110.3,0.0,0.0,0.0,0.0
27,14345,14.345,49.0,17.7,110.1,0.0,0.0,0.0,0.1
28,14890,14.89,47.0,16.8,110.1,0.0,0.0,0.0,0.0
29,15345,15.345,47.0,17.0,131.9,0.0,0.0,0.0,0.1
30,15888,15.888,46.0,17.2,110.3,0.0,0.0,0.0,0.1
31,16342,16.342,47.0,15.8,132.5,0.0,0.0,0.0,0.0
32,16887,16.887,53.0,17.2,110.1,0.0,0.0,0.0,0.1
33,17341,17.341,54.0,18.1,132.2,0.0,0.0,0.0,0.5
34,17885,17.885,56.0,18.9,110.1,0.0,0.0,0.0,0.2
35,18431,18.431,51.0,20.3,110.1,0.0,0.0,0.0,0.1
36,18884,18.884,54.0,18.7,132.2,0.0,0.0,0.0,0.3
37,19429,19.429,52.0,19.0,110.3,0.0,0.0,0.0,0.3
38,19884,19.884,49.0,17.6,131.9,0.0,0.0,0.0,0.2
39,20428,20.428,55.0,17.0,110.1,0.0,0.0,0.0,0.3
40,20881,20.881,55.0,18.6,132.5,0.0,0.0,0.0,0.4
41,21427,21.427,57.0,19.1,110.1,0.0,0.0,0.0,0.3
42,21971,21.971,51.0,20.7,110.1,0.0,0.0,0.0,0.2
43,22424,22.424,53.0,17.5,132.2,0.0,0.0,0.0,0.1
44,22969,22.969,49.0,18.7,110.3,0.0,0.0,0.0,0.0
45,23424,23.424,53.0,16.0,132.2,0.0,0.0,0.0,0.3
46,23969,23.969,49.0,18.9,110.1,0.0,0.0,0.0,0.3
47,24423,24.423,54.0,18.0,132.2,0.0,0.0,0.0,0.3
48,24967,24.967,53.0,18.2,110.3,0.0,0.0,0.0,0.2
49,25603,25.603,55.0,15.4,94.3,0.0,0.0,0.0,0.2
50,26057,26.057,55.0,16.2,132.2,0.0,0.0,0.0,0.4
51,26691,26.691,56.0,16.3,94.3,0.0,0.0,0.0,0.2
52,27146,27.146,51.0,17.9,132.5,0.0,0.0,0.0,0.1
53,27691,27.691,61.0,17.9,109.9,0.0,0.0,0.0,0.4
54,28236,28.236,56.0,19.1,110.3,0.0,0.0,0.0,0.3
55,28780,28.78,57.0,20.0,110.1,0.0,0.0,0.0,0.2
56,29325,29.325,53.0,19.5,110.3,0.0,0.0,0.0,0.2
57,29870,29.87,56.0,19.4,110.1,0.0,0.0,0.0,0.3
