compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,1000,1.0,63.5,0.0,0.0,0.0,0.0,0.0,0.0
2,1453,1.453,63.5,18.6,132.2,0.0,0.0,0.0,-0.1
3,1907,1.907,63.5,23.8,132.2,0.0,0.0,0.0,-0.1
4,2452,2.452,63.5,25.2,110.1,0.0,0.0,0.0,-0.1
5,2905,2.905,63.5,23.1,132.2,0.0,0.0,0.0,-0.1
6,3359,3.359,62.0,24.5,132.2,0.0,0.0,0.0,-0.2
7,3904,3.904,63.5,24.5,110.1,0.0,0.0,0.0,-0.1
8,4358,4.358,63.5,25.0,132.5,0.0,0.0,0.0,-0.3
9,4902,4.902,63.0,27.0,110.1,21.9,21.9,7.0,-0.1
10,5357,5.357,63.5,25.9,132.2,0.0,0.0,0.0,-0.1
11,5810,5.81,63.5,24.6,131.9,0.0,0.0,0.0,-0.1
12,6264,6.264,63.5,23.6,132.5,0.0,0.0,0.0,0.3
13,6810,6.81,63.0,25.4,110.1,21.9,21.9,10.0,0.2
14,7262,7.262,63.5,25.1,132.2,0.0,0.0,0.0,0.2
15,7716,7.716,63.5,24.9,132.2,0.0,0.0,0.0,0.1
16,8172,8.172,62.0,24.6,132.2,0.0,0.0,0.0,0.1
17,8625,8.625,61.0,24.4,132.2,0.0,0.0,0.0,-0.1
18,9169,9.169,59.0,24.2,110.3,21.9,21.9,6.0,0.1
19,9624,9.624,63.5,22.3,132.2,0.0,0.0,0.0,0.1
20,10077,10.077,63.5,23.6,132.2,0.0,0.0,0.0,0.2
21,10531,10.531,63.0,23.4,132.5,0.0,0.0,0.0,0.1
22,10985,10.985,63.5,24.6,131.9,0.0,0.0,0.0,0.1
23,11438,11.438,60.0,23.6,132.7,0.0,0.0,0.0,-0.1
24,11983,11.983,58.0,24.5,109.9,21.9,21.9,11.0,0.1
25,12438,12.438,62.0,25.2,132.2,21.9,21.9,11.0,0.1
26,12891,12.891,63.0,25.8,132.5,0.0,0.0,0.0,0.1
27,13346,13.346,63.5,25.5,131.9,0.0,0.0,0.0,0.1
28,13800,13.8,63.5,24.7,132.2,0.0,0.0,0.0,0.1
29,14252,14.252,63.0,23.5,132.5,0.0,0.0,0.0,0.1
30,14707,14.707,63.5,23.5,132.2,0.0,0.0,0.0,0.0
31,15161,15.161,63.5,26.2,132.2,0.0,0.0,0.0,0.1
32,15615,15.615,63.5,24.0,132.2,0.0,0.0,0.0,0.1
33,16069,16.069,62.0,24.9,132.2,0.0,0.0,0.0,0.1
34,16523,16.523,63.5,25.3,131.9,0.0,0.0,0.0,0.0
35,16976,16.976,63.5,26.0,132.7,0.0,0.0,0.0,-0.0
36,17431,17.431,63.5,26.2,131.9,0.0,0.0,0.0,0.0
37,17884,17.884,63.5,27.8,132.2,0.0,0.0,0.0,-0.0
38,18338,18.338,61.0,27.2,132.2,0.0,0.0,0.0,-0.0
39,18793,18.793,61.0,25.1,132.2,0.0,0.0,0.0,-0.1
40,19336,19.336,61.0,24.4,110.3,0.0,0.0,0.0,0.1
41,19791,19.791,61.0,22.8,132.2,0.0,0.0,0.0,0.2
42,20245,20.245,63.5,23.3,132.2,0.0,0.0,0.0,0.1
43,20698,20.698,63.0,22.7,132.2,0.0,0.0,0.0,0.1
44,21152,21.152,62.0,22.6,132.5,0.0,0.0,0.0,0.1
45,21607,21.607,62.0,23.6,131.9,0.0,0.0,0.0,0.0
46,22060,22.06,63.5,24.3,132.5,0.0,0.0,0.0,0.4
47,22514,22.514,63.5,27.7,131.9,0.0,0.0,0.0,0.3
48,22968,22.968,62.0,26.5,132.5,0.0,0.0,0.0,0.2
49,23422,23.422,63.5,24.8,132.2,0.0,0.0,0.0,0.1
50,23876,23.876,63.0,24.6,132.2,0.0,0.0,0.0,0.1
51,24329,24.329,63.5,24.3,131.9,0.0,0.0,0.0,0.1
52,24783,24.783,60.0,24.3,132.7,0.0,0.0,0.0,0.1
53,25237,25.237,60.0,24.4,132.2,0.0,0.0,0.0,-0.0
54,25691,25.691,63.0,25.5,132.2,0.0,0.0,0.0,-0.0
55,26144,26.144,62.0,26.1,132.2,0.0,0.0,0.0,0.1
56,26599,26.599,62.0,25.9,132.2,0.0,0.0,0.0,0.1
57,27052,27.052,63.5,25.6,132.5,0.0,0.0,0.0,0.1
58,27507,27.507,61.0,25.7,131.9,0.0,0.0,0.0,0.1
59,27960,27.96,63.5,25.2,132.2,0.0,0.0,0.0,0.2
60,28414,28.414,63.5,26.3,132.5,0.0,0.0,0.0,0.2
61,28868,28.868,63.5,25.9,132.2,0.0,0.0,0.0,0.1
62,29323,29.323,63.5,25.7,131.9,0.0,0.0,0.0,0.2
63,29776,29.776,62.0,24.4,132.5,0.0,0.0,0.0,0.0
