compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,998,0.998,58.0,0.0,0.0,0.0,0.0,0.0,-0.5
2,1542,1.542,59.0,18.1,110.3,0.0,0.0,0.0,-0.5
3,1996,1.996,57.0,20.7,132.2,-24.7,18.6,11.5,-0.6
4,2357,2.357,54.0,24.1,166.2,0.0,0.0,0.0,-0.3
5,2812,2.812,56.0,23.1,131.9,0.0,0.0,0.0,-0.5
6,3356,3.356,58.0,24.2,110.3,10.2,21.1,7.5,-0.6
7,3809,3.809,56.0,24.8,131.9,10.2,21.1,6.5,-0.7
8,4263,4.263,61.0,23.0,132.7,0.0,0.0,0.0,-0.5
9,4716,4.716,56.0,22.5,131.9,0.0,0.0,0.0,-0.7
10,5261,5.261,57.0,23.7,110.3,0.0,0.0,0.0,-0.6
11,5714,5.714,57.0,22.6,132.5,0.0,0.0,0.0,-0.5
12,6168,6.168,58.0,20.3,132.5,0.0,0.0,0.0,-0.4
13,6712,6.712,63.5,17.8,110.1,0.0,0.0,0.0,-0.2
14,7257,7.257,63.5,18.4,110.3,0.0,0.0,0.0,-0.2
15,7800,7.8,61.0,17.1,110.1,0.0,0.0,0.0,-0.3
16,8346,8.346,60.0,17.5,110.3,0.0,0.0,0.0,-0.5
17,8889,8.889,59.0,17.7,110.3,0.0,0.0,0.0,-0.4
18,9433,9.433,60.0,17.7,110.3,0.0,0.0,0.0,-0.4
19,9888,9.888,54.0,18.5,132.2,0.0,0.0,0.0,-0.4
20,10432,10.432,63.0,17.4,110.3,21.9,21.9,5.9,-0.3
21,10976,10.976,53.0,21.7,110.3,0.0,0.0,0.0,-0.5
22,11430,11.43,55.0,19.0,132.2,0.0,0.0,0.0,-0.5
23,11974,11.974,49.0,19.8,110.3,0.0,0.0,0.0,-0.2
24,12427,12.427,52.0,17.9,132.2,0.0,0.0,0.0,-0.5
25,12971,12.971,48.0,18.3,110.3,0.0,0.0,0.0,-0.4
26,13426,13.426,59.0,17.3,132.2,0.0,0.0,0.0,-0.2
27,13970,13.97,56.0,16.5,110.3,21.9,21.9,5.9,-0.2
28,14514,14.514,52.0,15.9,110.3,0.0,0.0,0.0,-0.4
29,15058,15.058,54.0,15.3,110.3,0.0,0.0,0.0,-0.3
30,15603,15.603,54.0,18.0,110.1,0.0,0.0,0.0,-0.5
31,16056,16.056,51.0,18.0,132.2,0.0,0.0,0.0,-0.6
32,16600,16.6,60.0,16.5,110.3,0.0,0.0,0.0,-0.2
33,17144,17.144,49.0,18.4,110.3,0.0,0.0,0.0,-0.5
34,17598,17.598,53.0,17.8,132.2,0.0,0.0,0.0,-0.4
35,18142,18.142,51.0,18.4,110.3,0.0,0.0,0.0,-0.5
36,18595,18.595,50.0,17.8,132.2,0.0,0.0,0.0,-0.5
37,19141,19.141,49.0,17.4,110.3,0.0,0.0,0.0,-0.6
38,19593,19.593,52.0,16.9,132.5,0.0,0.0,0.0,-0.6
39,20138,20.138,47.0,17.3,110.3,0.0,0.0,0.0,-0.5
40,20592,20.592,48.0,16.7,131.9,-4.2,18.9,5.9,-0.4
41,21135,21.135,49.0,17.7,110.5,0.0,0.0,0.0,-0.5
42,21680,21.68,50.0,16.0,110.1,10.2,21.1,9.5,-0.5
43,22134,22.134,50.0,18.0,132.2,0.0,0.0,0.0,-0.5
44,22586,22.586,49.0,17.6,132.5,0.0,0.0,0.0,-0.5
45,23132,23.132,49.0,18.4,110.3,-21.4,-21.4,7.0,-0.3
46,23585,23.585,59.0,18.7,132.2,0.0,0.0,0.0,-0.4
47,24130,24.13,58.0,21.3,110.3,0.0,0.0,0.0,-0.4
48,24583,24.583,56.0,21.7,132.5,0.0,0.0,0.0,-0.5
49,25127,25.127,51.0,21.9,110.3,0.0,0.0,0.0,-0.4
50,25672,25.672,50.0,20.8,110.1,-24.7,18.6,12.5,-0.8
51,26125,26.125,51.0,19.4,132.2,0.0,0.0,0.0,-0.5
52,26578,26.578,62.0,20.2,132.5,0.0,0.0,0.0,-0.4
53,27123,27.123,52.0,21.4,110.3,0.0,0.0,0.0,-0.6
54,27576,27.576,58.0,19.6,132.2,0.0,0.0,0.0,-0.4
55,28121,28.121,60.0,19.2,110.3,21.9,21.9,5.9,-0.3
56,28665,28.665,55.0,19.4,110.1,0.0,0.0,0.0,-0.3
57,29119,29.119,51.0,19.2,132.5,0.0,0.0,0.0,-0.4
58,29663,29.663,56.0,19.8,110.3,0.0,0.0,0.0,-0.3
