compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,1997,1.997,37.0,0.2,3.0,0.0,0.0,0.0,-0.0
2,2631,2.631,36.0,10.4,94.5,0.0,0.0,0.0,0.0
3,3086,3.086,37.0,13.9,132.2,0.0,0.0,0.0,0.7
4,3631,3.631,42.0,14.8,110.1,0.0,0.0,0.0,0.7
5,4085,4.085,52.0,15.7,132.2,0.0,0.0,0.0,0.5
6,4539,4.539,53.0,18.1,132.2,0.0,0.0,0.0,0.3
7,5083,5.083,58.0,17.9,110.3,0.0,0.0,0.0,0.5
8,5628,5.628,54.0,18.4,109.9,0.0,0.0,0.0,0.5
9,6081,6.081,54.0,19.6,132.5,0.0,0.0,0.0,0.5
10,6627,6.627,45.0,19.8,110.1,0.0,0.0,0.0,0.5
11,7081,7.081,47.0,17.7,132.2,0.0,0.0,0.0,0.8
12,7626,7.626,43.0,18.8,110.1,0.0,0.0,0.0,0.8
13,8079,8.079,45.0,18.7,132.5,0.0,0.0,0.0,1.0
14,8624,8.624,46.0,17.5,110.1,0.0,0.0,0.0,0.9
15,9078,9.078,46.0,19.7,131.9,0.0,0.0,0.0,1.1
16,9532,9.532,46.0,21.1,132.5,0.0,0.0,0.0,1.6
17,9985,9.985,47.0,18.6,132.2,0.0,0.0,0.0,1.4
18,10621,10.621,55.0,13.7,94.5,0.0,0.0,0.0,-0.1
19,11165,11.165,53.0,20.1,110.1,31.2,0.5,6.9,-0.2
20,11620,11.62,55.0,20.3,132.2,0.0,0.0,0.0,-0.1
21,12074,12.074,57.0,21.6,132.2,0.0,0.0,0.0,-0.1
22,12619,12.619,52.0,21.8,110.1,31.2,0.5,6.9,-0.0
23,13072,13.072,54.0,21.2,132.2,0.0,0.0,0.0,-0.0
24,13527,13.527,56.0,20.4,132.2,0.0,0.0,0.0,-0.1
25,14071,14.071,51.0,22.5,110.1,0.0,0.0,0.0,0.1
26,14524,14.524,46.0,17.5,132.7,0.0,0.0,0.0,0.0
27,15070,15.07,49.0,18.7,109.9,-24.7,18.6,9.0,0.0
28,15524,15.524,48.0,20.4,132.2,-24.7,18.6,7.0,-0.1
29,15977,15.977,51.0,21.1,132.2,-24.7,18.6,6.0,-0.1
30,16431,16.431,52.0,22.7,132.5,0.0,0.0,0.0,-0.0
31,16885,16.885,46.0,22.6,131.9,0.0,0.0,0.0,0.1
32,17429,17.429,36.0,17.3,110.5,-30.3,-0.5,10.0,0.0
33,17884,17.884,38.0,17.1,131.9,-30.3,-0.5,10.0,-0.1
34,18338,18.338,43.0,18.5,131.9,-28.8,0.5,11.0,0.0
35,18792,18.792,47.0,21.2,132.5,-30.3,-0.5,11.0,0.0
36,19245,19.245,41.0,21.0,132.2,0.0,0.0,0.0,-0.0
37,20335,20.335,40.0,14.0,55.1,0.0,0.0,0.0,4.5
38,20971,20.971,26.0,14.8,94.3,0.0,0.0,0.0,0.8
39,21969,21.969,44.0,11.7,60.1,-26.8,11.2,26.0,0.4
40,22422,22.422,45.0,23.8,132.2,0.0,0.0,0.0,0.7
41,22968,22.968,45.0,19.3,110.1,-26.9,11.2,18.0,0.6
42,23422,23.422,50.0,22.4,132.2,-24.7,18.6,7.0,0.7
43,23876,23.876,55.0,23.4,132.2,0.0,0.0,0.0,0.7
44,24330,24.33,57.0,25.4,132.2,0.0,0.0,0.0,0.8
45,24784,24.784,47.0,25.4,132.2,0.0,0.0,0.0,0.7
46,25328,25.328,45.0,24.2,110.1,-26.6,12.2,15.0,0.7
47,25782,25.782,52.0,23.1,132.5,0.0,0.0,0.0,0.8
48,26327,26.327,42.0,23.1,109.9,0.0,0.0,0.0,0.8
49,26781,26.781,47.0,20.8,132.2,0.0,0.0,0.0,0.8
50,27325,27.325,49.0,19.5,110.3,-25.9,14.4,23.0,0.8
51,27779,27.779,44.0,20.7,132.5,-24.7,18.6,12.0,0.7
52,28324,28.324,44.0,21.2,109.9,-24.7,18.6,33.0,0.5
53,28778,28.778,44.0,22.5,132.5,-24.7,18.6,14.0,0.9
54,29232,29.232,44.0,21.7,131.9,-24.7,18.6,11.0,0.8
55,29777,29.777,46.0,23.2,110.1,-24.7,18.6,15.0,0.8
