compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,1906,1.906,48.0,0.1,0.0,0.0,0.0,0.0,-0.1
2,2359,2.359,52.0,13.4,132.5,0.0,0.0,0.0,-0.0
3,2904,2.904,39.0,14.3,109.9,0.0,0.0,0.0,-0.2
4,3358,3.358,50.0,14.0,132.5,0.0,0.0,0.0,-0.1
5,3811,3.811,46.0,16.4,132.2,0.0,0.0,0.0,-0.2
6,4266,4.266,46.0,17.0,132.2,0.0,0.0,0.0,-0.2
7,4720,4.72,63.5,16.4,132.2,0.0,0.0,0.0,0.2
8,5173,5.173,63.0,22.0,132.5,0.0,0.0,0.0,0.3
9,5718,5.718,55.0,20.9,110.1,0.0,0.0,0.0,-0.1
10,6262,6.262,47.0,18.1,110.3,0.0,0.0,0.0,-0.2
11,6715,6.715,58.0,16.0,132.5,0.0,0.0,0.0,-0.1
12,7260,7.26,41.0,17.4,110.1,0.0,0.0,0.0,-0.2
13,7715,7.715,52.0,16.9,131.9,0.0,0.0,0.0,-0.1
14,8168,8.168,45.0,17.6,132.5,0.0,0.0,0.0,0.1
15,8712,8.712,44.0,15.4,110.1,0.0,0.0,0.0,-0.2
16,9257,9.257,48.0,16.4,110.3,31.2,0.5,7.8,-0.2
17,9711,9.711,46.0,16.3,132.2,0.0,0.0,0.0,-0.2
18,10164,10.164,52.0,16.6,132.5,0.0,0.0,0.0,-0.1
19,10710,10.71,51.0,18.0,109.9,28.2,7.4,21.8,-0.2
20,11163,11.163,63.0,20.8,132.2,0.0,0.0,0.0,-0.0
21,11617,11.617,63.0,22.6,132.5,0.0,0.0,0.0,0.2
22,12161,12.161,59.0,21.7,110.1,0.0,0.0,0.0,0.2
23,12707,12.707,57.0,21.6,110.1,0.0,0.0,0.0,0.1
24,13342,13.342,51.0,20.3,94.5,31.2,0.5,5.8,-0.1
25,13795,13.795,55.0,20.3,132.2,0.0,0.0,0.0,0.0
26,14340,14.34,48.0,18.0,110.3,0.0,0.0,0.0,-0.1
27,14885,14.885,46.0,18.5,110.1,0.0,0.0,0.0,-0.2
28,15429,15.429,47.0,16.3,110.1,0.0,0.0,0.0,-0.2
29,15973,15.973,44.0,15.2,110.5,0.0,0.0,0.0,-0.1
30,16518,16.518,58.0,14.8,110.1,0.0,0.0,0.0,-0.1
31,17063,17.063,61.0,20.5,110.1,0.0,0.0,0.0,-0.0
32,17607,17.607,62.0,19.2,110.3,0.0,0.0,0.0,0.1
33,18151,18.151,59.0,20.0,110.1,0.0,0.0,0.0,0.4
34,18787,18.787,57.0,19.1,94.5,0.0,0.0,0.0,-0.0
35,19331,19.331,60.0,19.9,110.1,0.0,0.0,0.0,-0.1
36,19876,19.876,53.0,19.7,110.3,0.0,0.0,0.0,-0.1
37,20421,20.421,53.0,17.5,109.9,0.0,0.0,0.0,-0.1
38,20965,20.965,62.0,18.1,110.5,0.0,0.0,0.0,0.0
39,21509,21.509,59.0,18.4,110.1,0.0,0.0,0.0,0.1
40,22054,22.054,58.0,18.2,110.3,0.0,0.0,0.0,-0.1
41,22599,22.599,54.0,18.2,109.9,0.0,0.0,0.0,-0.1
42,23143,23.143,60.0,16.9,110.5,0.0,0.0,0.0,0.1
43,23687,23.687,55.0,17.4,110.3,0.0,0.0,0.0,0.1
44,24323,24.323,55.0,16.1,94.3,0.0,0.0,0.0,-0.1
45,24868,24.868,56.0,16.9,110.1,0.0,0.0,0.0,0.0
46,25413,25.413,55.0,18.9,110.1,0.0,0.0,0.0,-0.1
47,25956,25.956,63.5,17.6,110.5,0.0,0.0,0.0,0.1
48,26592,26.592,59.0,19.5,94.2,0.0,0.0,0.0,-0.1
49,27137,27.137,59.0,18.8,110.3,0.0,0.0,0.0,0.2
50,27772,27.772,60.0,18.3,94.5,0.0,0.0,0.0,-0.0
51,28408,28.408,51.0,16.2,94.3,0.0,0.0,0.0,-0.3
52,28951,28.951,48.0,15.4,110.1,0.0,0.0,0.0,-0.2
53,29496,29.496,51.0,15.1,110.5,0.0,0.0,0.0,-0.2
