row_type,time_ms,session_time_ms,time_s,raw_depth_mm,depth_mm,peak_depth_mm,lean_mm,rate_cpm,compression_started,compression_completed,motion_state,hp_x,hp_y,hp_s,force_N,motor_on
DATA,67189,90,0.09,4.0,1.4,58.0,20.2,110.9,0,0,2,0.0,0.0,0.0,-0.7,0
DATA,67280,181,0.181,7.0,2.8,58.0,20.2,110.9,0,0,2,0.0,0.0,0.0,-0.8,0
DATA,67371,272,0.272,10.0,4.6,58.0,20.2,110.9,0,0,2,0.0,0.0,0.0,-0.8,0
DATA,67462,363,0.363,9.0,5.7,58.0,0.1,110.9,1,0,1,0.0,0.0,0.0,-0.8,0
DATA,67553,454,0.454,14.0,7.8,58.0,0.1,110.9,0,0,1,21.9,21.9,32.0,-0.9,0
DATA,67643,544,0.544,38.0,15.3,58.0,0.1,110.9,0,0,1,21.3,20.9,99.3,-0.9,0
DATA,67734,635,0.635,60.0,26.5,58.0,0.1,110.9,0,0,1,19.4,21.0,32.7,-0.6,0
DATA,67824,725,0.725,45.0,31.1,58.0,0.1,110.9,0,0,1,0.0,0.0,0.0,-0.9,0
DATA,67916,817,0.817,11.0,26.1,60.0,0.1,3.8,0,1,2,0.0,0.0,0.0,-0.7,1
DATA,68005,906,0.906,3.0,20.3,60.0,0.1,3.8,0,0,2,0.0,0.0,0.0,-0.6,1
DATA,68096,997,0.997,6.0,16.7,60.0,0.1,3.8,0,0,2,0.0,0.0,0.0,-0.8,1
DATA,68187,1088,1.088,10.0,15.1,60.0,0.1,3.8,0,0,2,21.9,21.9,12.0,-1.0,0
DATA,68278,1179,1.179,21.0,16.5,60.0,0.1,3.8,0,0,2,21.3,21.1,74.3,-1.3,0
DATA,68368,1269,1.269,52.0,25.4,60.0,15.1,3.8,1,0,1,20.2,20.6,66.3,-1.2,0
DATA,68459,1360,1.36,59.0,33.8,60.0,15.1,3.8,0,0,1,0.0,0.0,0.0,-1.0,0
DATA,68550,1451,1.451,24.0,31.4,60.0,15.1,3.8,0,0,1,0.0,0.0,0.0,-0.9,0
DATA,68643,1544,1.544,2.0,24.0,59.0,15.1,82.6,0,1,2,0.0,0.0,0.0,-0.7,1
