compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,999,0.999,54.0,0.0,0.2,0.0,0.0,0.0,-0.4
2,1543,1.543,63.0,14.2,110.3,0.0,0.0,0.0,22.0
3,2178,2.178,62.0,18.3,94.5,0.0,0.0,0.0,11.2
4,2723,2.723,62.0,18.0,110.1,0.0,0.0,0.0,11.7
5,3268,3.268,63.5,18.9,110.1,0.0,0.0,0.0,16.4
6,3721,3.721,61.0,18.6,132.5,0.0,0.0,0.0,27.8
7,4265,4.265,60.0,17.0,110.3,0.0,0.0,0.0,2.8
8,4810,4.81,58.0,16.6,110.1,0.0,0.0,0.0,30.4
9,5355,5.355,58.0,16.4,110.1,0.0,0.0,0.0,37.0
10,5898,5.898,51.0,16.8,110.1,0.0,0.0,0.0,23.8
11,6353,6.353,58.0,17.6,132.5,0.0,0.0,0.0,23.4
12,6898,6.898,58.0,16.5,110.1,0.0,0.0,0.0,15.3
13,7442,7.442,55.0,16.5,110.1,0.0,0.0,0.0,13.3
14,7895,7.895,58.0,17.4,132.7,0.0,0.0,0.0,-2.8
15,8440,8.44,56.0,17.5,110.1,0.0,0.0,0.0,0.7
16,8985,8.985,57.0,18.0,109.9,0.0,0.0,0.0,17.1
17,9438,9.438,59.0,17.7,132.7,0.0,0.0,0.0,4.6
18,9983,9.983,53.0,18.8,110.1,0.0,0.0,0.0,16.3
19,10436,10.436,55.0,18.3,131.9,0.0,0.0,0.0,0.8
20,10982,10.982,51.0,16.7,110.3,0.0,0.0,0.0,2.0
21,11525,11.525,56.0,16.4,110.5,0.0,0.0,0.0,6.2
22,11980,11.98,53.0,17.4,131.9,0.0,0.0,0.0,-7.9
23,12433,12.433,54.0,18.6,132.2,0.0,0.0,0.0,-25.6
24,12977,12.977,50.0,17.5,110.3,0.0,0.0,0.0,7.2
25,13432,13.432,54.0,17.9,132.2,0.0,0.0,0.0,-1.5
26,13976,13.976,55.0,18.8,110.3,0.0,0.0,0.0,14.0
27,14429,14.429,54.0,18.1,132.2,0.0,0.0,0.0,9.9
28,14883,14.883,53.0,17.9,132.2,0.0,0.0,0.0,-4.1
29,15337,15.337,59.0,19.8,132.2,0.0,0.0,0.0,-12.1
30,15881,15.881,55.0,19.3,110.3,0.0,0.0,0.0,-7.8
31,16335,16.335,56.0,19.3,132.5,0.0,0.0,0.0,-9.4
32,16880,16.88,56.0,16.2,110.1,0.0,0.0,0.0,18.0
33,17424,17.424,56.0,14.9,110.1,0.0,0.0,0.0,11.6
34,17968,17.968,53.0,16.9,110.3,0.0,0.0,0.0,17.3
35,18422,18.422,52.0,17.0,132.2,0.0,0.0,0.0,5.0
36,18967,18.967,54.0,18.1,110.3,0.0,0.0,0.0,25.5
37,19421,19.421,53.0,17.1,132.2,0.0,0.0,0.0,-8.7
38,19965,19.965,50.0,16.9,110.3,0.0,0.0,0.0,12.6
39,20419,20.419,55.0,16.5,131.9,0.0,0.0,0.0,12.7
40,20962,20.962,53.0,17.5,110.3,0.0,0.0,0.0,28.5
41,21417,21.417,58.0,19.5,132.5,0.0,0.0,0.0,59.1
42,21871,21.871,57.0,21.6,132.2,0.0,0.0,0.0,46.3
43,22415,22.415,49.0,17.8,110.1,0.0,0.0,0.0,31.9
44,22960,22.96,58.0,14.4,110.3,0.0,0.0,0.0,-3.3
45,23504,23.504,53.0,15.5,110.3,0.0,0.0,0.0,33.9
46,24048,24.048,58.0,14.9,109.9,0.0,0.0,0.0,13.5
47,24594,24.594,54.0,15.5,110.3,0.0,0.0,0.0,40.0
48,25137,25.137,53.0,16.6,110.5,0.0,0.0,0.0,28.0
49,25682,25.682,53.0,15.7,110.1,0.0,0.0,0.0,18.6
50,26226,26.226,52.0,16.1,110.3,0.0,0.0,0.0,7.9
51,26771,26.771,49.0,16.4,109.9,0.0,0.0,0.0,19.2
52,27224,27.224,51.0,18.0,132.5,0.0,0.0,0.0,-9.5
53,27769,27.769,53.0,14.2,110.3,0.0,0.0,0.0,13.0
54,28313,28.313,49.0,15.0,110.1,0.0,0.0,0.0,1.7
55,28859,28.859,53.0,15.1,110.1,0.0,0.0,0.0,13.2
56,29311,29.311,47.0,15.3,132.7,0.0,0.0,0.0,24.8
57,29856,29.856,46.0,13.4,109.9,0.0,0.0,0.0,17.7
