compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,1088,1.088,48.0,0.0,0.0,0.0,0.0,0.0,-13.7
2,1541,1.541,53.0,14.0,132.2,0.0,0.0,0.0,35.2
3,2085,2.085,59.0,20.5,110.5,0.0,0.0,0.0,28.1
4,2539,2.539,58.0,22.8,132.2,0.0,0.0,0.0,35.0
5,2991,2.991,63.0,25.3,132.5,0.0,0.0,0.0,38.8
6,3445,3.445,57.0,27.3,132.5,0.0,0.0,0.0,58.0
7,3989,3.989,56.0,26.6,110.3,0.0,0.0,0.0,42.7
8,4351,4.351,58.0,27.2,165.7,0.0,0.0,0.0,44.2
9,4895,4.895,57.0,26.3,110.3,0.0,0.0,0.0,33.9
10,5349,5.349,58.0,25.0,132.2,0.0,0.0,0.0,27.4
11,5801,5.801,58.0,25.2,132.5,0.0,0.0,0.0,28.3
12,6346,6.346,56.0,22.7,110.3,0.0,0.0,0.0,24.3
13,6799,6.799,60.0,23.6,131.9,0.0,0.0,0.0,15.7
14,7343,7.343,59.0,23.6,110.5,0.0,0.0,0.0,24.9
15,7796,7.796,61.0,21.4,132.5,0.0,0.0,0.0,19.4
16,8341,8.341,60.0,22.0,110.3,0.0,0.0,0.0,18.5
17,8793,8.793,55.0,21.7,132.2,0.0,0.0,0.0,9.0
18,9429,9.429,57.0,18.5,94.6,0.0,0.0,0.0,11.8
19,9882,9.882,57.0,18.0,132.2,0.0,0.0,0.0,15.4
20,10427,10.427,52.0,15.3,110.3,0.0,0.0,0.0,32.0
21,10970,10.97,48.0,16.6,110.3,0.0,0.0,0.0,12.1
22,11514,11.514,53.0,16.5,110.5,0.0,0.0,0.0,20.2
23,11967,11.967,53.0,16.2,132.2,0.0,0.0,0.0,18.7
24,12512,12.512,47.0,14.8,110.3,0.0,0.0,0.0,18.1
25,12965,12.965,47.0,15.6,132.5,0.0,0.0,0.0,25.2
26,13509,13.509,48.0,13.7,110.3,0.0,0.0,0.0,29.0
27,13962,13.962,53.0,15.3,132.2,0.0,0.0,0.0,19.3
28,14506,14.506,58.0,15.6,110.5,0.0,0.0,0.0,-0.4
29,14959,14.959,54.0,18.7,132.2,0.0,0.0,0.0,-9.4
30,15504,15.504,56.0,15.0,110.3,0.0,0.0,0.0,-5.4
31,15957,15.957,53.0,18.0,132.5,0.0,0.0,0.0,-2.5
32,16592,16.592,53.0,13.3,94.5,0.0,0.0,0.0,14.3
33,17136,17.136,56.0,14.5,110.3,0.0,0.0,0.0,13.6
34,17589,17.589,53.0,16.1,132.2,0.0,0.0,0.0,11.8
35,18132,18.132,55.0,15.5,110.5,0.0,0.0,0.0,4.1
36,18678,18.678,56.0,17.9,110.1,0.0,0.0,0.0,3.0
37,19131,19.131,57.0,16.4,132.5,0.0,0.0,0.0,-17.3
38,19674,19.674,57.0,14.3,110.3,0.0,0.0,0.0,-14.7
39,20309,20.309,55.0,15.1,94.6,0.0,0.0,0.0,7.8
40,20762,20.762,54.0,14.2,132.2,0.0,0.0,0.0,5.5
41,21308,21.308,52.0,14.6,110.1,0.0,0.0,0.0,14.4
42,21852,21.852,54.0,16.2,110.3,0.0,0.0,0.0,16.2
43,22304,22.304,54.0,16.1,132.7,0.0,0.0,0.0,-14.7
44,22848,22.848,58.0,15.2,110.1,0.0,0.0,0.0,6.4
45,23393,23.393,56.0,15.8,110.1,0.0,0.0,0.0,11.0
46,23936,23.936,52.0,16.2,110.5,0.0,0.0,0.0,-0.6
47,24480,24.48,58.0,17.0,110.3,0.0,0.0,0.0,4.3
48,24935,24.935,56.0,16.4,132.2,0.0,0.0,0.0,6.4
49,25479,25.479,53.0,17.0,110.3,0.0,0.0,0.0,9.5
50,26022,26.022,50.0,17.2,110.3,0.0,0.0,0.0,-4.5
51,26566,26.566,54.0,15.5,110.3,0.0,0.0,0.0,-6.3
52,27020,27.02,56.0,16.0,132.5,0.0,0.0,0.0,-5.8
53,27563,27.563,58.0,16.1,110.5,0.0,0.0,0.0,15.2
54,28108,28.108,58.0,15.8,110.1,0.0,0.0,0.0,0.9
55,28652,28.652,55.0,18.2,110.1,0.0,0.0,0.0,7.5
56,29106,29.106,57.0,18.7,132.5,0.0,0.0,0.0,-16.0
57,29649,29.649,56.0,19.4,110.5,0.0,0.0,0.0,1.1
