compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,2177,2.177,43.0,0.1,1.3,-24.7,18.6,8.7,0.2
2,2631,2.631,40.0,19.1,132.5,0.0,0.0,0.0,0.2
3,3085,3.085,37.0,20.3,132.2,0.0,0.0,0.0,0.3
4,4173,4.173,41.0,15.8,55.1,-24.7,18.6,5.7,0.1
5,4717,4.717,43.0,20.3,110.5,-24.7,18.6,5.7,0.1
6,5172,5.172,45.0,22.0,131.9,0.0,0.0,0.0,0.3
7,5624,5.624,49.0,22.3,132.2,0.0,0.0,0.0,0.3
8,6169,6.169,42.0,22.7,110.3,0.0,0.0,0.0,0.2
9,6623,6.623,55.0,23.2,132.5,0.0,0.0,0.0,0.4
10,7168,7.168,51.0,25.4,110.1,-2.4,20.2,16.7,0.3
11,7530,7.53,63.5,26.9,165.7,0.0,0.0,0.0,0.8
12,8075,8.075,62.0,28.5,110.1,0.0,0.0,0.0,0.7
13,8528,8.528,63.5,28.1,132.2,-24.7,18.6,5.7,0.7
14,9073,9.073,60.0,28.2,110.5,-24.7,18.6,6.7,0.5
15,9526,9.526,62.0,30.2,132.2,-24.7,18.6,5.7,0.6
16,9980,9.98,59.0,27.9,132.2,0.0,0.0,0.0,0.5
17,10433,10.433,57.0,27.6,132.5,0.0,0.0,0.0,0.4
18,10978,10.978,48.0,26.5,110.1,-24.7,18.6,6.7,0.1
19,11432,11.432,63.5,25.7,132.2,0.0,0.0,0.0,0.6
20,11885,11.885,60.0,27.8,132.5,0.0,0.0,0.0,0.5
21,12429,12.429,61.0,27.9,110.1,0.0,0.0,0.0,0.6
22,12883,12.883,59.0,31.2,132.2,21.9,21.9,5.0,0.4
23,13336,13.336,59.0,31.6,132.7,19.4,19.0,10.0,0.4
24,13790,13.79,63.5,31.0,131.9,21.9,21.9,7.0,0.7
25,14243,14.243,61.0,31.8,132.5,0.0,0.0,0.0,0.6
26,14697,14.697,63.5,32.3,132.2,0.0,0.0,0.0,0.6
27,15151,15.151,62.0,31.0,132.2,0.0,0.0,0.0,0.6
28,15694,15.694,58.0,31.8,110.5,21.9,21.9,12.0,0.6
29,16149,16.149,60.0,31.7,132.2,21.9,21.9,11.0,0.7
30,16602,16.602,62.0,31.8,132.2,21.9,21.9,6.0,0.7
31,17055,17.055,63.5,30.6,132.5,0.0,0.0,0.0,0.7
32,17509,17.509,63.5,30.4,132.2,0.0,0.0,0.0,0.8
33,17964,17.964,63.5,30.1,132.2,0.0,0.0,0.0,0.7
34,18416,18.416,63.5,30.2,132.5,0.0,0.0,0.0,0.6
35,18870,18.87,63.5,30.0,132.5,0.0,0.0,0.0,0.7
36,19415,19.415,63.5,31.6,110.1,3.2,20.6,16.7,0.5
37,19868,19.868,63.5,32.6,132.5,21.9,21.9,9.0,0.5
38,20321,20.321,63.5,31.7,132.2,21.9,21.9,8.0,0.7
39,20776,20.776,63.5,31.8,132.2,21.9,21.9,9.0,0.7
40,21229,21.229,63.0,30.9,132.5,0.0,0.0,0.0,0.5
41,21774,21.774,63.5,30.0,110.1,21.9,21.9,19.0,0.5
42,22227,22.227,61.0,33.1,132.2,21.9,21.9,7.0,0.5
43,22590,22.59,58.0,31.2,165.7,0.0,0.0,0.0,0.7
44,23134,23.134,55.0,22.1,110.1,21.3,17.8,15.0,-0.1
45,23587,23.587,63.5,25.6,132.2,21.7,19.4,15.0,-0.1
46,24041,24.041,63.5,30.5,132.7,21.6,21.0,12.0,0.3
47,24585,24.585,56.0,32.1,110.1,21.3,21.3,22.0,0.4
48,25040,25.04,61.0,32.5,132.2,21.3,21.3,21.0,0.6
49,25493,25.493,63.5,29.5,132.2,21.4,21.1,16.0,0.5
50,25946,25.946,63.5,30.9,132.5,21.7,21.1,12.0,0.4
51,26399,26.399,61.0,31.4,132.5,0.0,0.0,0.0,0.8
52,27125,27.125,49.0,20.0,82.8,26.3,11.7,44.4,0.2
53,27579,27.579,55.0,23.6,131.9,26.5,11.5,34.4,0.3
54,27943,27.943,56.0,27.8,165.3,0.0,0.0,0.0,0.5
55,28577,28.577,47.0,17.8,94.5,31.2,0.5,5.4,0.2
56,29121,29.121,44.0,16.6,110.3,25.4,13.8,20.4,0.1
57,29575,29.575,57.0,20.6,132.5,21.9,21.9,8.0,0.4
