compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,815,0.815,60.0,0.1,3.8,0.0,0.0,0.0,-0.7
2,1541,1.541,59.0,15.1,82.6,0.0,0.0,0.0,-0.7
3,2086,2.086,61.0,19.8,110.1,0.0,0.0,0.0,-0.7
4,2540,2.54,63.5,22.5,131.9,0.0,0.0,0.0,-0.7
5,2993,2.993,63.0,25.5,132.7,21.9,21.9,6.0,-0.7
6,3538,3.538,62.0,25.4,110.1,0.0,0.0,0.0,-0.6
7,3992,3.992,63.0,23.9,132.2,21.9,21.9,6.0,-0.8
8,4536,4.536,58.0,25.3,110.1,0.0,0.0,0.0,-0.7
9,4989,4.989,62.0,23.3,132.5,0.0,0.0,0.0,-0.8
10,5534,5.534,59.0,23.8,110.3,0.0,0.0,0.0,-0.7
11,5987,5.987,60.0,22.6,132.2,0.0,0.0,0.0,-0.7
12,6532,6.532,57.0,22.3,110.3,0.0,0.0,0.0,-0.7
13,6986,6.986,60.0,22.7,132.2,0.0,0.0,0.0,-0.7
14,7530,7.53,61.0,20.9,110.1,0.0,0.0,0.0,-0.7
15,8074,8.074,61.0,20.6,110.3,0.0,0.0,0.0,-0.7
16,8619,8.619,60.0,20.8,110.3,0.0,0.0,0.0,-0.7
17,9163,9.163,56.0,20.7,110.1,0.0,0.0,0.0,-0.8
18,9708,9.708,53.0,20.0,110.3,0.0,0.0,0.0,-0.6
19,10252,10.252,58.0,18.1,109.9,0.0,0.0,0.0,-0.5
20,10796,10.796,56.0,18.5,110.5,0.0,0.0,0.0,-0.6
21,11251,11.251,58.0,19.2,132.2,0.0,0.0,0.0,-0.8
22,11796,11.796,60.0,20.0,110.1,0.0,0.0,0.0,-0.6
23,12339,12.339,56.0,18.8,110.3,0.0,0.0,0.0,-0.7
24,12883,12.883,58.0,18.3,110.3,0.0,0.0,0.0,-0.6
25,13338,13.338,58.0,18.5,132.2,21.9,21.9,6.0,-0.8
26,13883,13.883,61.0,18.4,110.1,0.0,0.0,0.0,-0.8
27,14426,14.426,58.0,18.9,110.5,0.0,0.0,0.0,-0.7
28,14970,14.97,57.0,17.6,110.1,0.0,0.0,0.0,-0.5
29,15516,15.516,61.0,18.2,110.1,0.0,0.0,0.0,-0.6
30,16060,16.06,58.0,19.0,110.1,0.0,0.0,0.0,-0.6
31,16513,16.513,58.0,19.9,132.7,21.9,21.9,7.0,-0.7
32,17058,17.058,61.0,18.5,110.1,21.9,21.9,6.0,-0.7
33,17603,17.603,63.0,18.3,110.1,21.9,21.9,6.0,-0.6
34,18146,18.146,59.0,18.3,110.1,0.0,0.0,0.0,-0.7
35,18691,18.691,59.0,17.1,110.3,17.3,21.4,6.0,-0.7
36,19236,19.236,60.0,17.1,110.3,0.0,0.0,0.0,-0.6
37,19781,19.781,53.0,20.3,110.1,0.0,0.0,0.0,-0.7
38,20234,20.234,60.0,20.2,132.5,0.0,0.0,0.0,-0.8
39,20778,20.778,61.0,19.0,110.1,0.0,0.0,0.0,-0.6
40,21323,21.323,54.0,20.5,110.3,0.0,0.0,0.0,-0.6
41,21868,21.868,54.0,19.3,110.1,0.0,0.0,0.0,-0.7
42,22412,22.412,53.0,19.2,110.1,0.0,0.0,0.0,-0.7
43,22865,22.865,54.0,17.7,132.7,0.0,0.0,0.0,-0.7
44,23501,23.501,55.0,16.9,94.3,0.0,0.0,0.0,-0.7
45,24045,24.045,56.0,17.9,110.1,0.0,0.0,0.0,-0.7
46,24498,24.498,57.0,19.4,132.7,21.9,21.9,6.0,-0.8
47,25133,25.133,62.0,18.0,94.5,0.0,0.0,0.0,-0.6
48,25678,25.678,59.0,21.0,110.1,0.0,0.0,0.0,-0.6
49,26223,26.223,60.0,19.9,110.1,0.0,0.0,0.0,-0.7
50,26766,26.766,63.0,21.1,110.1,0.0,0.0,0.0,-0.6
51,27310,27.31,53.0,20.9,110.5,0.0,0.0,0.0,-0.8
52,27855,27.855,59.0,19.8,110.1,21.9,21.9,6.0,-0.8
53,28400,28.4,59.0,20.3,110.3,0.0,0.0,0.0,-0.6
54,28853,28.853,59.0,20.0,132.5,21.9,21.9,6.0,-0.9
55,29488,29.488,61.0,19.2,94.5,0.0,0.0,0.0,-0.6
56,29942,29.942,60.0,21.5,131.9,0.0,0.0,0.0,-0.7
