compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,1269,1.269,63.5,0.1,0.0,21.9,21.9,11.0,0.8
2,1723,1.723,63.5,25.2,132.2,21.9,21.9,9.0,0.7
3,2177,2.177,63.5,30.5,132.2,0.0,0.0,0.0,0.8
4,2721,2.721,63.5,30.4,110.1,0.0,0.0,0.0,0.7
5,3265,3.265,63.5,32.0,110.5,0.0,0.0,0.0,0.8
6,3719,3.719,63.0,30.2,132.2,0.0,0.0,0.0,0.5
7,4263,4.263,63.5,30.7,110.3,21.9,21.9,6.0,0.6
8,4807,4.807,63.5,32.1,110.3,21.9,21.9,9.0,0.6
9,5261,5.261,63.5,32.8,132.2,0.0,0.0,0.0,0.6
10,5805,5.805,63.5,31.7,110.1,21.9,21.9,5.0,0.8
11,6259,6.259,63.5,31.6,132.5,0.0,0.0,0.0,1.2
12,7167,7.167,54.0,18.2,66.1,0.0,0.0,0.0,0.8
13,7619,7.619,50.0,23.5,132.7,0.0,0.0,0.0,0.5
14,8164,8.164,60.0,24.8,110.1,0.0,0.0,0.0,0.6
15,8618,8.618,63.5,29.4,132.2,0.0,0.0,0.0,0.9
16,9071,9.071,63.5,31.0,132.5,0.0,0.0,0.0,1.0
17,9525,9.525,63.5,29.3,132.2,0.0,0.0,0.0,0.7
18,10069,10.069,63.5,26.9,110.3,0.0,0.0,0.0,0.8
19,10614,10.614,63.5,28.4,109.9,0.0,0.0,0.0,1.0
20,11067,11.067,63.5,28.4,132.5,0.0,0.0,0.0,1.0
21,11612,11.612,63.5,28.5,110.3,0.0,0.0,0.0,1.0
22,12065,12.065,63.5,28.4,132.2,0.0,0.0,0.0,1.1
23,12609,12.609,63.5,30.3,110.3,0.0,0.0,0.0,0.9
24,13154,13.154,63.5,31.1,110.3,0.0,0.0,0.0,0.9
25,13608,13.608,63.5,30.2,132.2,0.0,0.0,0.0,0.9
26,14061,14.061,63.5,31.8,132.5,0.0,0.0,0.0,2.1
27,14605,14.605,63.5,28.1,110.1,0.0,0.0,0.0,1.3
28,15150,15.15,63.5,27.5,110.3,0.0,0.0,0.0,1.0
29,15603,15.603,63.5,30.1,132.5,0.0,0.0,0.0,1.2
30,16147,16.147,63.5,28.0,110.1,0.0,0.0,0.0,1.2
31,16601,16.601,63.5,29.7,132.2,0.0,0.0,0.0,1.1
32,17145,17.145,63.5,28.8,110.3,0.0,0.0,0.0,1.1
33,17599,17.599,63.5,30.0,132.5,0.0,0.0,0.0,1.2
34,18053,18.053,63.5,30.0,132.2,0.0,0.0,0.0,1.3
35,18598,18.598,63.5,29.8,110.1,0.0,0.0,0.0,1.2
36,19051,19.051,63.5,29.1,132.2,0.0,0.0,0.0,1.0
37,19595,19.595,63.5,28.4,110.3,0.0,0.0,0.0,1.2
38,20050,20.05,63.0,29.2,132.2,0.0,0.0,0.0,1.0
39,20594,20.594,63.5,29.6,110.3,0.0,0.0,0.0,1.2
40,21048,21.048,63.5,29.9,132.2,0.0,0.0,0.0,1.9
41,21592,21.592,63.5,30.9,110.1,0.0,0.0,0.0,1.0
42,22046,22.046,63.5,29.3,132.5,0.0,0.0,0.0,1.3
43,22590,22.59,63.5,32.6,110.3,0.0,0.0,0.0,1.1
44,23044,23.044,63.5,31.1,132.2,0.0,0.0,0.0,0.9
45,23589,23.589,63.5,31.6,110.1,0.0,0.0,0.0,1.1
46,24042,24.042,63.5,31.0,132.5,0.0,0.0,0.0,0.9
47,24586,24.586,63.5,30.5,110.1,0.0,0.0,0.0,0.9
48,25040,25.04,63.5,33.3,132.2,0.0,0.0,0.0,1.1
49,25494,25.494,63.5,29.5,132.2,0.0,0.0,0.0,1.1
50,25948,25.948,63.5,29.3,132.5,0.0,0.0,0.0,1.3
51,26493,26.493,63.5,30.1,110.1,0.0,0.0,0.0,1.2
52,26946,26.946,63.5,28.4,132.5,0.0,0.0,0.0,1.2
53,27400,27.4,62.0,30.2,132.2,-21.4,-21.4,7.0,0.9
54,27945,27.945,63.5,29.9,110.1,0.0,0.0,0.0,1.1
55,28397,28.397,63.5,30.8,132.5,0.0,0.0,0.0,1.1
56,28852,28.852,63.5,30.4,132.2,0.0,0.0,0.0,0.9
57,29397,29.397,63.5,31.4,110.1,0.0,0.0,0.0,1.0
58,29850,29.85,63.0,32.2,132.5,0.0,0.0,0.0,0.9
