compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,1814,1.814,50.0,0.1,0.0,0.0,0.0,0.0,0.2
2,2359,2.359,51.0,15.7,110.1,0.0,0.0,0.0,0.1
3,2903,2.903,43.0,18.7,110.1,0.0,0.0,0.0,0.0
4,3538,3.538,49.0,13.9,94.6,0.0,0.0,0.0,-0.2
5,4082,4.082,49.0,16.1,110.3,0.0,0.0,0.0,-0.0
6,4627,4.627,53.0,15.5,110.1,21.9,21.9,12.0,-0.0
7,5081,5.081,49.0,21.9,132.2,0.0,0.0,0.0,0.0
8,5626,5.626,53.0,20.3,110.1,0.0,0.0,0.0,0.1
9,6169,6.169,52.0,21.7,110.3,0.0,0.0,0.0,0.1
10,6624,6.624,63.5,22.3,132.2,0.0,0.0,0.0,1.8
11,7259,7.259,63.5,20.9,94.5,0.0,0.0,0.0,0.4
12,7804,7.804,63.5,25.2,110.1,0.0,0.0,0.0,0.2
13,8348,8.348,63.5,26.4,110.3,0.0,0.0,0.0,0.3
14,8892,8.892,63.5,25.7,110.1,0.0,0.0,0.0,0.2
15,9437,9.437,63.5,25.8,110.3,0.0,0.0,0.0,0.3
16,9982,9.982,63.5,27.4,109.9,0.0,0.0,0.0,0.4
17,10526,10.526,63.5,26.2,110.5,0.0,0.0,0.0,0.5
18,11071,11.071,63.5,27.1,110.1,0.0,0.0,0.0,0.4
19,11615,11.615,63.5,28.0,110.1,0.0,0.0,0.0,0.5
20,12070,12.07,63.5,26.7,132.2,0.0,0.0,0.0,0.6
21,12613,12.613,63.5,25.8,110.3,0.0,0.0,0.0,1.0
22,13249,13.249,62.0,22.0,94.5,0.0,0.0,0.0,0.7
23,13702,13.702,63.5,24.0,132.2,0.0,0.0,0.0,0.2
24,14338,14.338,63.5,24.2,94.5,21.9,21.9,7.0,0.2
25,14882,14.882,63.5,26.7,110.1,21.9,21.9,5.0,0.3
26,15426,15.426,63.5,26.4,110.3,21.9,21.9,6.0,0.4
27,15971,15.971,63.0,26.6,110.3,21.9,21.9,5.0,0.3
28,16425,16.425,63.5,26.0,131.9,0.0,0.0,0.0,0.3
29,16968,16.968,63.5,27.3,110.7,21.9,21.9,5.0,0.5
30,17513,17.513,63.5,28.1,109.9,21.9,21.9,5.0,0.4
31,17967,17.967,63.5,29.5,132.2,0.0,0.0,0.0,1.9
32,18512,18.512,63.5,30.0,110.3,0.0,0.0,0.0,0.5
33,19056,19.056,63.5,30.5,110.3,21.9,21.9,5.0,0.5
34,19600,19.6,63.0,29.1,110.1,21.9,21.9,7.0,0.4
35,20055,20.055,63.5,29.7,132.2,0.0,0.0,0.0,0.3
36,20597,20.597,63.5,29.1,110.3,0.0,0.0,0.0,0.5
37,21142,21.142,63.5,29.0,110.3,21.9,21.9,8.0,0.4
38,21596,21.596,63.5,29.0,132.5,0.0,0.0,0.0,0.2
39,22141,22.141,63.0,29.8,110.1,21.9,21.9,5.0,0.2
40,22685,22.685,63.5,28.5,110.3,21.6,21.6,14.0,0.3
41,23139,23.139,63.5,28.1,132.2,0.0,0.0,0.0,0.3
42,23683,23.683,63.5,28.2,110.1,21.9,21.9,10.0,0.1
43,24136,24.136,63.5,30.3,132.5,0.0,0.0,0.0,0.2
44,24681,24.681,60.0,29.1,110.3,21.9,21.9,6.0,0.3
45,25135,25.135,63.5,27.1,132.2,0.0,0.0,0.0,0.2
46,25680,25.68,63.5,28.4,110.1,0.0,0.0,0.0,0.3
47,26223,26.223,62.0,28.4,110.5,21.9,21.9,7.0,0.5
48,26677,26.677,63.5,28.4,132.2,0.0,0.0,0.0,0.5
49,27221,27.221,63.5,28.1,110.1,21.9,21.9,9.0,0.4
50,27675,27.675,63.5,29.8,132.5,0.0,0.0,0.0,0.8
51,28219,28.219,63.5,30.2,110.1,21.9,21.9,6.0,0.4
52,28674,28.674,63.5,28.4,132.2,0.0,0.0,0.0,0.4
53,29217,29.217,63.5,29.5,110.1,21.9,21.9,6.0,0.4
54,29671,29.671,63.5,30.0,132.5,0.0,0.0,0.0,0.4
